name,tier1_aroma,tier2_taste,tier3_mouthfeel,leaves,sources,key_pairings,pairing_principles,chemistry_notes
salad oil,,bitter|sour|umami,oily,,ai-draft;gnn-v3+flavordb,vinegar|wine vinegar|wax bean|yellow wax bean|salad vinegar|yellow bean|green pepper,,"confidence=low (taste=GNN default, needs human review)"
green chilie,,bitter|sour|umami,,,ai-draft;gnn-v3+flavordb,flour tortilla|corn tortilla|enchilada sauce|monterey jack cheese|green enchilada sauce|longhorn cheese|cumin,,"confidence=low (taste=GNN default, needs human review)"
whipped cream,,sour|sweet|umami,smooth,,ai-draft;gnn-v3+flavordb,coffee|chocolate shaving|chocolate curl|peppermint schnapp|fudge sauce|chocolate syrup|dish pie pastry,,"confidence=low (taste=GNN default, needs human review)"
vanilla ice cream,,sour|sweet|umami,smooth,,ai-draft;gnn-v3+flavordb,chocolate syrup|chocolate sauce|oreo cookie|chocolate fudge topping|banana liqueur|fudge sauce|raspberry sorbet,,"confidence=low (taste=GNN default, needs human review)"
curry,,bitter|sour|umami,,,ai-draft;gnn-v3+flavordb,black mustard seed|fenugreek|turmeric|mustard seed|tamarind pulp|coconut milk|fluid coconut milk,,"confidence=low (taste=GNN default, needs human review)"
egg yolk,fatty,,,,ai-draft;gnn-v3+flavordb,dulce de leche|puff pastry|cream|pastry cream|egg white|lemon filling|hollandaise sauce,,
italian sausage,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,mozzarella|lasagna noodle|rigatoni pasta|parmesan|ricotta|pasta sauce|tomato paste,,"confidence=low (taste=GNN default, needs human review)"
plain yogurt,,sour|sweet|umami,smooth,,ai-draft;gnn-v3+flavordb,tandoori paste|lamb|green cardamom pod|black cardamom pod|fish sauce|turmeric|worcestershire sauce,,"confidence=low (taste=GNN default, needs human review)"
egg white,,,,,ai-draft;gnn-v3+flavordb,cream of tartar|carbonated water|cake flour|egg yolk|almond paste|vanilla|unsweetened applesauce,,
gingerroot,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,sesame dressing|soy sauce|hoisin|rice vinegar|snow pea|lite coconut milk|turmeric,,"confidence=low (taste=GNN default, needs human review)"
light corn syrup,,bitter|sour|umami,viscous,,ai-draft;gnn-v3+flavordb,popcorn|bittersweet|peanut|golden grahams cereal|chocolate glaze|boiling water|popcorn kernel,,"confidence=low (taste=GNN default, needs human review)"
peanut oil,,sour|sweet|umami,oily,,ai-draft;gnn-v3+flavordb,oyster sauce|soy sauce|chinese egg noodle|fish sauce|chinese broccoli|chili bean sauce|hokkien noodle,,"confidence=low (taste=GNN default, needs human review)"
cream of tartar,,,smooth,,ai-draft;gnn-v3+flavordb,egg white|cake flour|meringue powder|baking soda|vanilla|butterscotch chip|whipped topping,,
corn syrup,,bitter|sour|umami,viscous,,ai-draft;gnn-v3+flavordb,popcorn|puffed wheat cereal|worcestershire sauce|boiling water|chili powder|tabasco sauce|chili sauce,,"confidence=low (taste=GNN default, needs human review)"
cornmeal,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,cream-style corn|catfish fillet|buttermilk|catfish|cream-style|green tomatoe|sweet milk,,"confidence=low (taste=GNN default, needs human review)"
jalapeño,,,,,ai-draft;gnn-v3+flavordb,cilantro|lime juice|black bean|avocado|cumin|lime|avocadoe,,
onion powder,green,,powdery,,ai-draft;gnn-v3+flavordb,leaf oregano|brunoise red pepper|cayenne pepper|rub|nutritional yeast|paprika|liquid smoke,,
vegetable stock,,,,,ai-draft;gnn-v3+flavordb,red lentil|risotto rice|saffron|butternut squash|brown lentil|seitan|quinoa,,
nut,,,crunchy,,ai-draft;gnn-v3+flavordb,date|pineapple|raisin|coconut|pistachio pudding|pistachio instant pudding|chocolate bit,,
coarse salt,,sour|sweet|umami,crystalline,,ai-draft;gnn-v3+flavordb,sanding sugar|light-brown sugar|freshly pepper|white quinoa|rice-wine vinegar|chicken|powdered sugar,,"confidence=low (taste=GNN default, needs human review)"
freshly pepper,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,extra-virgin olive oil|freshly salt|red wine vinegar|freshly parmigiano-reggiano cheese|flat-leaf parsley|sherry vinegar|coarse salt,,"confidence=low (taste=GNN default, needs human review)"
greek yogurt,,sour|sweet|umami,smooth,,ai-draft;gnn-v3+flavordb,weight chicken|tandoori paste|lamb|chia seed|harissa paste|fish sauce|worcestershire sauce,,"confidence=low (taste=GNN default, needs human review)"
pork sausage,,sour|sweet|umami,tender,,ai-draft;gnn-v3+flavordb,cocktail rye bread|party rye bread|biscuit/baking mix|noodle soup|cheddar|buttermilk biscuit mix|brown sugar,,"confidence=low (taste=GNN default, needs human review)"
graham cracker crumb,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,butterscotch chip|condensed milk|butterscotch bit|cream cheese|dream whip|flaked coconut|chocolate,,"confidence=low (taste=GNN default, needs human review)"
italian seasoning,,,,,ai-draft;gnn-v3+flavordb,mozzarella|basil|mushroom|tomato sauce|oregano|tomato paste|red pepper,,
salsa,,,,,ai-draft;gnn-v3+flavordb,cumin|crema mexicana|chili powder|cheese|olive|avocado|cilantro,,
baby spinach,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,tandoori paste|feta|refrigerated cheese tortellini|haloumi cheese|promise buttery spread|raspberry vinaigrette|sweet orange pepper,,"confidence=low (taste=GNN default, needs human review)"
condensed cream,,sour|sweet|umami,smooth,,ai-draft;gnn-v3+flavordb,brown potatoe|mushroom stem|condensed chicken|bread stuffing mix|buttery round cracker|chicken|chicken stuffing mix,,"confidence=low (taste=GNN default, needs human review)"
allspice,woody,,,spicy|clove|warm|woody|eugenol|sweet,ai-draft;gnn-v3+flavordb,apple filling|blackberry jam|apple cider|pumpkin puree|sweet apple cider|scotch bonnet|applesauce,eugenol bridges to other clove/cinnamon phenolics; warms sweet fruit,dominant=eugenol (PubChem CID 3314); warm clove/cinnamon/nutmeg facet
sesame,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,sesame oil|rice vinegar|korean red pepper|dark sesame oil|gochujang|ramen noodle|mirin,,"confidence=low (taste=GNN default, needs human review)"
spaghetti sauce,,bitter|sour|umami,smooth,,ai-draft;gnn-v3+flavordb,mozzarella|lasagna noodle|parmesan|ricotta|pepperoni|beef|cottage cheese,,"confidence=low (taste=GNN default, needs human review)"
hamburger,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,tomato soup|kidney bean|tomato sauce|butter bean|taco sauce|chili bean|rigatoni noodle,,"confidence=low (taste=GNN default, needs human review)"
white chocolate,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,milk chocolate|bittersweet|cocoa butter|peppermint candie|peppermint schnapp|matcha powder|white chocolate curl,,"confidence=low (taste=GNN default, needs human review)"
white wine vinegar,fruity,,,,ai-draft;gnn-v3+flavordb,anchovy|torn red leaf lettuce|flat-leafed parsley|coarse grain mustard|chicken stock|parmesan|mushroom,,
cottage cheese,,sour|sweet|umami,smooth,,ai-draft;gnn-v3+flavordb,lasagna noodle|orange jello|lime jello|spaghetti sauce|parmesan|lime gelatin|wheat lasagna noodle,,"confidence=low (taste=GNN default, needs human review)"
margarine,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,pineapple|coconut|mozzarella|basil|chocolate cake|oregano|worcestershire sauce,,"confidence=low (taste=GNN default, needs human review)"
garam masala,,,,,ai-draft;gnn-v3+flavordb,turmeric|tomato|ginger|cumin|chicken|coriander|cilantro,,
flour tortilla,,bitter|sour|umami,powdery,,ai-draft;gnn-v3+flavordb,enchilada sauce|green chilie|blend cheese|picante sauce|green enchilada sauce|monterey jack cheese|red enchilada sauce,,"confidence=low (taste=GNN default, needs human review)"
vegetable shortening,,bitter|sour|umami,,,ai-draft;gnn-v3+flavordb,double-acting baking powder|clear vanilla|ice water|baking soda|water boiling|coconut flaked|corn husk,,"confidence=low (taste=GNN default, needs human review)"
whipped topping,,bitter|sour|umami,,,ai-draft;gnn-v3+flavordb,strawberry flavored|orange flavored|graham cracker crust|chocolate covered toffee|gelatin mix|chocolate pudding|chocolate sandwich cookie,,"confidence=low (taste=GNN default, needs human review)"
lemon rind,,sour,juicy,,ai-draft;gnn-v3+flavordb,sweet biscuit crumb|extra-virgin olive oil|chicken|tomato|chicken stock|reduced-calorie whipped topping|parmesan,,
flaked coconut,,sour|sweet|umami,crunchy,,ai-draft;gnn-v3+flavordb,condensed milk|orange candy|graham cracker crumb|orange segment|instant coconut cream pudding|sweet cooking chocolate|red sugar,,"confidence=low (taste=GNN default, needs human review)"
turkey breast,,bitter|sour|umami,,,ai-draft;gnn-v3+flavordb,miracle whip light dressing|multi-grain bread|thin tomato|leaf|miracle whip dressing family|leaf lettuce leave|wheat sandwich roll,,"confidence=low (taste=GNN default, needs human review)"
pepperoni,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,pizza sauce|mozzarella|provolone cheese|rigatoni noodle|spaghetti sauce|bread dough|pizza cheese,,"confidence=low (taste=GNN default, needs human review)"
wheat flour,,sour|sweet|umami,powdery,,ai-draft;gnn-v3+flavordb,unsweetened applesauce|baking soda|flaxseed|applesauce|nonfat dry milk powder|soymilk|vital wheat gluten,,"confidence=low (taste=GNN default, needs human review)"
sauce,,bitter|sour|umami,smooth,,ai-draft;gnn-v3+flavordb,worcestershire sauce|grill seasoning|blue cheese dressing|cheese dressing|bleu cheese salad dressing|clamato juice|shrimp,,"confidence=low (taste=GNN default, needs human review)"
black peppercorn,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,parsley stem|bay leaf|fenugreek|brown chicken|coriander seed|fennel seed|star anise,,"confidence=low (taste=GNN default, needs human review)"
corn tortilla,,bitter|sour|umami,,,ai-draft;gnn-v3+flavordb,enchilada sauce|green enchilada sauce|green chili salsa|red enchilada sauce|green chilie|green chile salsa|cumin,,"confidence=low (taste=GNN default, needs human review)"
pepper sauce,,sour|sweet|umami,smooth,,ai-draft;gnn-v3+flavordb,worcestershire sauce|lemon butter|vegetable juice cocktail|regular long grain rice|pepperoni|imitation crab|barbq sauce,,"confidence=low (taste=GNN default, needs human review)"
red chili pepper,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,fish sauce|lemongrass|palm sugar|shrimp paste|lime leave|cilantro root|long bean,,"confidence=low (taste=GNN default, needs human review)"
romano cheese,,sour|sweet|umami,smooth,,ai-draft;gnn-v3+flavordb,italian sausage|bucatini pasta|italian pork sausage|basil|parmesan|tomato paste|garlic,,"confidence=low (taste=GNN default, needs human review)"
teriyaki sauce,,bitter|sour|umami,smooth,,ai-draft;gnn-v3+flavordb,light sesame oil|sesame oil|pineapple salsa|tiny new potatoe|snow pea|ginger|liquid smoke flavoring,,"confidence=low (taste=GNN default, needs human review)"
soda water,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,simple syrup|gin|white grape juice|lemon wheel|lemonade concentrate|campari|limeade,,"confidence=low (taste=GNN default, needs human review)"
brown rice,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,lentil|black bean|edamame|sesame oil|vegetable bouillon cube|soy sauce|brown lentil,,"confidence=low (taste=GNN default, needs human review)"
cream of chicken soup,,umami|sour,smooth,,ai-draft;gnn-v3+flavordb,chicken|hash brown potatoe|ro-tel tomatoe|corn flake|herb stuffing|herb stuffing mix|fryer,,"confidence=low (taste=GNN default, needs human review)"
firm tofu,,bitter|sour|umami,,,ai-draft;gnn-v3+flavordb,light miso|shiitake|miso|vegan cheese|soy sauce|nutritional yeast|enoki mushroom,,"confidence=low (taste=GNN default, needs human review)"
sherry,,sweet|sour|umami,,,ai-draft;gnn-v3+flavordb,soy sauce|ginger|cornstarch|sesame oil|chicken stock|peanut oil|red pepper,,"confidence=low (taste=GNN default, needs human review)"
hoisin,,,,,ai-draft;gnn-v3+flavordb,sesame oil|five-spice powder|rice vinegar|plum sauce|chinese chili paste|asian chili sauce|ginger,,
italian salad dressing,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,caulifloweret|olive|pepperoncini pepper|cauliflower floweret|spiral pasta|chili powder|brown sugar,,"confidence=low (taste=GNN default, needs human review)"
cream of mushroom soup,,sweet|umami,smooth,,ai-draft;gnn-v3+flavordb,ro-tel tomatoe|onion soup|broccoli|chicken|mushroom|chicken rice soup|jalapeno cheez whiz,,"confidence=low (taste=GNN default, needs human review)"
swiss cheese,,sour|sweet|umami,smooth,,ai-draft;gnn-v3+flavordb,rye bread|corned beef|ham|poppy seed|deli turkey|herb seasoned stuffing mix|honey ham,,"confidence=low (taste=GNN default, needs human review)"
sherry vinegar,,sour,,,ai-draft;gnn-v3+flavordb,chorizo|extra-virgin olive oil|marcona almond|walnut oil|piquillo pepper|hazelnut oil|shallot,,
parsley flake,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,celery flake|onion flake|lasagna noodle|parmesan|chicken bouillon cube|achiote powder|russet potatoe,,"confidence=low (taste=GNN default, needs human review)"
yeast,,,,,ai-draft;gnn-v3+flavordb,strong white bread flour|very water|potato water|tepid water|milk powder|vital wheat gluten|potato flake,,
liquid smoke,,,,,ai-draft;gnn-v3+flavordb,morton tender quick salt|curing salt|beef brisket|worcestershire sauce|red salmon|onion salt|ketchup,,
marinara sauce,,bitter|sour|umami,smooth,,ai-draft;gnn-v3+flavordb,mozzarella|parmesan|ricotta|mozzarella string cheese|jumbo pasta shell|eggplant|italian sausage,,"confidence=low (taste=GNN default, needs human review)"
red chili,,bitter|sour|umami,,,ai-draft;gnn-v3+flavordb,fish sauce|lime leaf|rice vermicelli noodle|rice powder|palm sugar|corn cob|rice noodle,,"confidence=low (taste=GNN default, needs human review)"
velveeta cheese,,sour|sweet|umami,smooth,,ai-draft;gnn-v3+flavordb,ro-tel tomatoe|party rye bread|jalapeno relish|hormel chili without bean|hormel chili|broccoli|sausage,,"confidence=low (taste=GNN default, needs human review)"
yellow cake,,bitter|sour|umami,,,ai-draft;gnn-v3+flavordb,vanilla pudding|vanilla instant pudding|cherry pie filling|instant vanilla pudding|coconut instant pudding|pineapple|instant coconut cream pudding,,"confidence=low (taste=GNN default, needs human review)"
flat-leaf parsley,,sour|sweet|umami,crisp,,ai-draft;gnn-v3+flavordb,extra-virgin olive oil|littleneck clam|freshly pepper|capers|country bread|red chile flake|anchovy fillet,,"confidence=low (taste=GNN default, needs human review)"
mustard powder,,sour|sweet|umami,powdery,,ai-draft;gnn-v3+flavordb,cayenne pepper|baby back pork rib|apple cider vinegar|brown mustard seed|runner bean|pulled pork|onion powder,,"confidence=low (taste=GNN default, needs human review)"
red chili powder,,bitter|sour|umami,powdery,,ai-draft;gnn-v3+flavordb,ginger-garlic|ginger paste|coriander powder|mango powder|asafoetida powder|fenugreek leave|turmeric,,"confidence=low (taste=GNN default, needs human review)"
mirin,,,,,ai-draft;gnn-v3+flavordb,sake|soy sauce|burdock root|miso|lotus root|dashi stock|sesame oil,,
provolone cheese,,sour|sweet|umami,smooth,,ai-draft;gnn-v3+flavordb,pepperoni|pepperoncini pepper|deli roast beef|pepperoncini|pepperoni sausage|cherry pepper|deli turkey,,"confidence=low (taste=GNN default, needs human review)"
chocolate syrup,,sour|sweet|umami,viscous,,ai-draft;gnn-v3+flavordb,chocolate ice cream|vanilla ice cream|scoop ice cream|milky|chocolate liqueur|whipped cream|coffee ice cream,,"confidence=low (taste=GNN default, needs human review)"
cake,,bitter|sour|umami,,,ai-draft;gnn-v3+flavordb,strawberry glaze|crumb topping|butterfinger|reduced-fat whipped topping|eggs at|salted|glaze,,"confidence=low (taste=GNN default, needs human review)"
italian dressing,,,,,ai-draft;gnn-v3+flavordb,boneless skinless chicken breast|rotini noodle|fully ripe avocado|tomato|linguine noodle|coating mix|broccoli floweret,,
mustard seed,,sour|sweet|umami,crunchy,,ai-draft;gnn-v3+flavordb,asafoetida powder|curry|tamarind pulp|curry leaf|jaggery|mustard oil|dill seed,,"confidence=low (taste=GNN default, needs human review)"
pizza sauce,,bitter|sour|umami,smooth,,ai-draft;gnn-v3+flavordb,pepperoni|mozzarella|turkey pepperoni|pizza cheese|pepperoni sausage|rigatoni noodle|string cheese,,"confidence=low (taste=GNN default, needs human review)"
chili flake,,bitter|sour|umami,,,ai-draft;gnn-v3+flavordb,rice powder|hawaiian salt|satay sauce|yuzu juice|brown sugar|worcestershire sauce|boiling water,,"confidence=low (taste=GNN default, needs human review)"
green chili,,bitter|sour|umami,,,ai-draft;gnn-v3+flavordb,mango powder|creamed coconut|ginger paste|ginger-garlic|coriander powder|turmeric|green coriander,,"confidence=low (taste=GNN default, needs human review)"
american cheese,,sour|sweet|umami,smooth,,ai-draft;gnn-v3+flavordb,buttered crumb|beef|parmesan|chicken stock|corned beef|tomato paste|shrimp,,"confidence=low (taste=GNN default, needs human review)"
ghee,fatty,,,peach|coconut|lactonic|apricot|fatty|creamy|fruity,ai-draft;gnn-v3+flavordb,cardamom powder|turmeric|asafoetida powder|black mustard seed|coriander powder|yellow lentil|red chili powder,,
mascarpone cheese,,sour|sweet|umami,smooth,,ai-draft;gnn-v3+flavordb,ladyfinger cookie|coffee liqueur|amaretti cookie|marsala wine|white chocolate curl|espresso powder|dessert wine,,"confidence=low (taste=GNN default, needs human review)"
peache,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,peach juice|reserved juice|peach yogurt|peach jello|regular vanilla pudding|chicken|tomato,,"confidence=low (taste=GNN default, needs human review)"
lemon pepper,,sour|sweet|umami,juicy,,ai-draft;gnn-v3+flavordb,original hidden|achiote powder|dill|buttermilk dressing|hidden valley dressing|catfish fillet|green pepper,,"confidence=low (taste=GNN default, needs human review)"
broccoli floret,,bitter|sour|umami,,,ai-draft;gnn-v3+flavordb,caulifloweret|cauliflower floret|boneless skinless chicken breast|carrots target|rotini pasta|fry|sesame dressing,,"confidence=low (taste=GNN default, needs human review)"
picante sauce,,bitter|sour|umami,smooth,,ai-draft;gnn-v3+flavordb,flour tortilla|bean dip|bean|grnd cumin|avocado dip|monterey jack cheese|pinto bean,,"confidence=low (taste=GNN default, needs human review)"
red chilie,,bitter|sour|umami,,,ai-draft;gnn-v3+flavordb,tamarind pulp|fenugreek|lemongrass|galangal|tamarind paste|turmeric|tamarind juice,,"confidence=low (taste=GNN default, needs human review)"
cake mix,,bitter|sour|umami,,,ai-draft;gnn-v3+flavordb,chocolate pudding|cherry pie filling|chocolate candie|lemon pie filling|instant chocolate pudding|chocolate instant pudding|vanilla frosting,,"confidence=low (taste=GNN default, needs human review)"
freshly squeezed lemon juice,,sour,smooth,,ai-draft;gnn-v3+flavordb,freshly black pepper|sesame tahini|flat-leaf parsley|chicken|simple syrup|orange bitters|extra-virgin olive oil,,
light sour cream,,bitter|sour|umami,smooth,,ai-draft;gnn-v3+flavordb,canola mayonnaise|extra lean beef|light cream cheese|brown sugar|italian sausage|boiling water|chili sauce,,"confidence=low (taste=GNN default, needs human review)"
nonfat yogurt,,sour|sweet|umami,oily,,ai-draft;gnn-v3+flavordb,dillweed|lemon glaze|fish sauce|chili powder|worcestershire sauce|green chilie|tabasco sauce,,"confidence=low (taste=GNN default, needs human review)"
taco sauce,,bitter|sour|umami,smooth,,ai-draft;gnn-v3+flavordb,lettuce|bean|beef|taco cheese|green chilie|olive|corn chip,,"confidence=low (taste=GNN default, needs human review)"
tarragon,green,,,anise|sweet|green|herbal|fennel|licorice,ai-draft;gnn-v3+flavordb,tarragon vinegar|bearnaise sauce|cornichon|white wine|live lobster|shallot|lobster,shared anethole/estragole anise axis links it to fennel & basil,dominant=estragole/methyl chavicol (PubChem CID 8815); anise-herbal
yellow cornmeal,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,yellow cream|catfish fillet|cream-style corn|cream-style|buttermilk|well-shaken buttermilk|green jalapeno,,"confidence=low (taste=GNN default, needs human review)"
lasagna noodle,,sweet|sour|umami,,,ai-draft;gnn-v3+flavordb,mozzarella|ricotta|spaghetti sauce|cottage cheese|parmesan|tomato paste|italian sausage,,"confidence=low (taste=GNN default, needs human review)"
pine nut,,sour|sweet|umami,crunchy,,ai-draft;gnn-v3+flavordb,parmesean cheese|grape leave|extra-virgin olive oil|basil|golden raisin|lean lamb|freshly pecorino,,"confidence=low (taste=GNN default, needs human review)"
cherry pie filling,,bitter|sour|umami,,,ai-draft;gnn-v3+flavordb,dream whip|yellow cake mix|chocolate fudge cake mix|crumb crust|almond extract|yellow cake|white cake mix,,"confidence=low (taste=GNN default, needs human review)"
condensed milk,,bitter|sour|umami,smooth,,ai-draft;gnn-v3+flavordb,graham cracker crumb|graham cracker crust|lemon juice from concentrate|butterscotch chip|graham cracker pie crust|semisweet chocolate chip|flaked coconut,,"confidence=low (taste=GNN default, needs human review)"
goat cheese,,sour|sweet|umami,smooth,,ai-draft;gnn-v3+flavordb,balsamic vinegar|candied walnut|candied pecan|chicken|shallot|chicken stock|balsamic glaze,,"confidence=low (taste=GNN default, needs human review)"
sweet chili sauce,,bitter|sour|umami,smooth,,ai-draft;gnn-v3+flavordb,rice vermicelli noodle|fish sauce|hokkien noodle|vermicelli rice noodle|sweet soy sauce|pork mince|bean sprout,,"confidence=low (taste=GNN default, needs human review)"
tomato juice,fruity,,smooth,,ai-draft;gnn-v3+flavordb,beef|chili bean|tomato|tomato paste|chicken|chili seasoning|parmesan,,
peppercorn,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,bay leaf|chicken carcass|parsley stem|parsley root|chicken back|celery top|star anise,,"confidence=low (taste=GNN default, needs human review)"
kernel corn,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,cream-style corn|cream-style|cornbread|barbecue beef|cream corn|corn muffin|cornbread mix,,"confidence=low (taste=GNN default, needs human review)"
brown mustard,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,cornbread stuffing|vegetarian baked bean|country-style pork rib|cayenne pepper sauce|kosher dill pickle|fish sauce|country-style pork,,"confidence=low (taste=GNN default, needs human review)"
graham cracker crust,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,whipped topping|cream cheese|condensed milk|realemon juice|reduced-fat whipped topping|cool whip|lemonade,,"confidence=low (taste=GNN default, needs human review)"
milk chocolate,,sour|sweet|umami,smooth,,ai-draft;gnn-v3+flavordb,white chocolate|chocolate|chili powder|boiling water|graham cracker sheet|bittersweet|maple syrup,,"confidence=low (taste=GNN default, needs human review)"
penne pasta,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,parmesan|grilled chicken|italian sausage|alfredo sauce|italian pork sausage|vodka sauce|chicken sausage,,"confidence=low (taste=GNN default, needs human review)"
active dry yeast,,,,,ai-draft;gnn-v3+flavordb,pearl sugar|nonfat dry milk powder|vital wheat gluten|very water|unbleached bread|rye flour|tepid water,,
unflavored gelatin,,,,,ai-draft;gnn-v3+flavordb,cream|boiling water|eggnog|white grape juice|sherry wine|raspberry gelatin|chocolate wafer crumb,,
