name,verified_compounds,class_terms,unverified_candidates,candidate_list
ginger,1,2,1,hence the natural ginger-lemon pairing through shared chemistry. gingerol provides heat through trpv1
gouda,0,1,2,12-36 months | diacetyl character. gouda-mustard-ham is a dutch
grains of paradise,1,0,1,6-paradol
granny smith apple,0,1,2,higher malic acid | lower ester load than red varieties. the tartness is what cuts cheddar fat — textbook fat-cut pairing in food chemistry literature. sage shares thujone-adjacent   that bridge to green-apple grassy notes.
grapefruit,2,0,1,1-p-menthene-8-thiol
green bean,2,0,0,
green pepper,0,1,1,2-isobutyl-3-methoxypyrazine is the green pepper compound — also in unripe tomato and cabernet wines. the shared methoxypyrazine chemistry across tomato
gruyere,0,0,2,acetic acids during aging plus co2 | propionic acid bacteria in gruyere generate propionic
guava,1,2,0,
ham,0,0,2,6-dimethoxyphenol that gives roasted pork its 'sweet-ham' character is concentrated in cured ham. ham-pineapple is the sweet-acid classic | combined with pork's base chemistry. the 4-allyl-2
hazelnut,0,1,0,
hemp seed,0,1,1,hexanal
hibiscus,0,1,0,
hoisin sauce,1,0,0,
honey,1,0,1,phenylacetaldehyde
hops,0,1,0,
horseradish,1,0,0,
hot paprika,2,1,0,
hot sauce,0,0,2,acetic acid | the cleansing acid
ice cream,1,1,1,10-18% in premium variants
jasmine,4,0,0,
juniper berry,2,0,0,
kaffir lime leaf,3,0,0,
kale,0,1,0,
ketchup,0,0,2,ketchup's umami-sweet-sour balance reflects engineered food-science optimization — heinz formulation specifically targets maximum-acceptable concentrations of acetic acid | sucrose simultaneously. dimethyl sulfide levels are much higher than in fresh tomato
kimchi,0,1,1,ginger paste system — lactobacillus generates acetic and lactic acid while   from cabbage and alliums concentrate into the brine. the korean rice
kiwi,1,0,1,ethyl butanoate
kombu,1,0,0,
lamb,0,1,1,4-methyloctanoic acid
lavender,3,0,0,
leek,0,1,0,
lemon,3,0,0,
lemon balm,2,0,0,
lemon verbena,2,0,0,
lemongrass,1,0,0,
lentil,0,1,1,2-pentylfuran similar to chickpea
lime,2,0,0,
lobster,0,2,0,
long pepper,1,0,0,
lovage,0,0,1,3-butylidene phthalide
lychee,1,0,1,cis-rose oxide
macadamia,0,1,1,hexanal
mace,2,0,0,
mahleb,2,0,0,
mandarin,1,0,2,gamma-terpinene | methyl n-methylanthranilate
mango,0,1,0,
maple syrup,2,0,0,
mascarpone,0,0,1,mascarpone is essentially 'fresh cream-cheese with extra cream' — fat content ~75% by weight
mashed potato,1,2,0,
mastic,1,0,1,masticadienonic acid
matcha,1,0,1,-3-hexenol
mayonnaise,0,0,1,lemon as both acid balance and stability factor. aioli is mayo
milk,0,2,2,and apricot — milk's 'creamy' character is largely lactone chemistry. milk-chocolate works through   bridging to cocoa's   plus cut-fat from milk against cocoa's bitter compounds. | delta-decalactone and related   in milk fat are the same compound family as coconut
mint,2,0,0,
miso,1,2,0,
molasses,1,0,0,
mozzarella,0,0,2,diacetyl | lactic acid
mushroom,3,0,0,
mustard,1,1,2,and in the same glucosinolate family as cabbage's  . aitc triggers trpa1 receptors | completely separate from chili's trpv1 capsaicin heat. this is why mustard
nectarine,1,1,0,
nigella seed,1,0,0,
noodles,0,1,0,
nori,1,0,1,dimethyl sulfide
nutmeg,3,0,0,
oatmeal,0,0,2,are all sweet-acid | cooked oats develop mild maillard compounds and 2-pentylfuran — the same grain-toasted family as rice and wheat. traditional oatmeal pairings
olive,1,0,0,
olive oil,1,1,0,
onion,1,0,1,dipropyl disulfide
orange,3,0,0,
orange blossom,2,0,0,
orange juice,0,0,2,higher sugar concentration — better for sweet-acid balancing | than for terpene-driven culinary pairings.
oregano,2,0,1,gamma-terpinene
oyster sauce,1,1,0,
pancetta,1,1,0,
pandan,1,0,0,
papaya,1,1,1,benzyl isothiocyanate
paprika,1,1,0,
parmesan,1,1,1,butyric acid
parsley,1,0,1,8-p-menthatriene
parsnip,1,0,0,
passion fruit,0,2,1,ethyl hexanoate
pasta,1,1,0,
pea,1,0,1,3-isopropyl-2-methoxypyrazine
peach,3,0,0,
peanut,0,1,3,2-acetylpyrrole as dominant compounds — the same pyrazine family in cocoa | 5-dimethylpyrazine | roasted peanut develops 2
peanut butter,0,3,1,but in a fat-rich matrix that amplifies fat-soluble flavor compounds. the peanut-butter-and-jelly tradition is built on sweet-acid plus peanut   bridging to fruit caramellic compounds.
pear,0,0,3,4-decadienoate | ethyl | hexyl acetate
peas,0,0,1,2-isopropyl-3-methoxypyrazine is the distinctive pea compound — same family as green bell pepper's pyrazine but slightly different. peas-mint and peas-ham are the british
pecan,0,1,1,hexanal
pesto,3,0,0,
pineapple,1,1,1,methyl
pineapple juice,0,1,0,
pink peppercorn,0,0,1,alpha-phellandrene
pistachio,0,2,0,
plum,2,1,0,
pomegranate,0,2,0,
pork,1,0,3,4-allyl-2 | 6-dimethoxyphenol contributes a 'smoky | ham' character to roasted pork — the phenolic family connects pork to sage and fennel's terpene-phenolic compounds. the apple-pork pairing is shared ester chemistry plus cut-fat from apple's malic acid
potato,2,1,0,
prosciutto,0,0,3,1-3 | concentrates prosciutto's amino acid | work on sweet-acid balancing prosciutto's saltiness.
prune,2,0,1,3-methylbutanal
pumpkin seed,0,1,1,hexanal
quince,0,1,0,
quinoa,0,1,0,
radish,0,0,1,4-methylthio-3-butenyl isothiocyanate
raisins,1,1,1,raisins are ~60-70% sugar
raspberry,2,1,0,
red apple,1,1,2,ethyl 2-methylbutyrate | hexyl acetate
red bell pepper,0,0,2,2-isobutyl-3-methoxypyrazine | beta-ionone
red pepper,0,1,4,ethyl hexanoate | hexyl acetate | the methoxy  drop and ester compounds rise | — that's why red bell pepper is sweet vs green's grassy bitterness. the mediterranean profile leans on shared hexenal across red pepper
red wine,0,2,0,
red wine vinegar,0,1,5,acetic acid from acetobacter fermentation | and trace anthocyanin-derived compounds. the strawberry-balsamic tradition extends to red wine vinegar through shared ester chemistry | bridges through acetic acid amplifying shallot's volatile sulfur. red wine vinegar handles red meat better than white because the residual wine compounds extend beef's maillard character. | ethyl acetate | ethyl lactate
rhubarb,1,0,0,
rice,1,0,0,
ricotta,0,0,1,lactic acid
roasted garlic,0,1,0,
rose,3,0,0,
rosemary,4,0,0,
rum,1,1,3,ethyl propanoate | is built on sweet-acid | the same banana-ester compound
saffron,1,0,0,
sage,3,0,0,
sake,1,0,1,unlike wine or beer. sake-sushi tradition is built on this umami amplification plus sake's mild ester profile complementing fish chemistry.
salmon,1,1,0,
salt,0,0,3,above 1% the saltiness becomes the dominant sensation. note: tier1=earthy is a placeholder for the mineral character | and modulating ion balance in proteins for texture. salt at approximately 0.5-1% concentration amplifies most flavors | salt is essentially aromaless and may belong in the tier1-blank exception list.
sarsaparilla,0,1,0,
savory,2,0,0,
scallion,0,1,0,
scallop,0,0,2,gmp provide multiplicative umami. seared scallops develop intense caramellic notes from amino acid maillard reactions. scallop-bacon is shared-maillard plus textural contrast. | scallops have the highest free amino acid content of common shellfish — glycine
sesame oil,0,2,0,
sesame seed,0,2,0,
shallot,0,1,0,
shiitake,1,0,0,
shiso,1,0,1,perilla aldehyde
sichuan peppercorn,2,0,0,
smoked paprika,2,0,0,
sour cream,0,0,1,is built on diacetyl bridging to paprika's hay
soy sauce,1,0,0,
spinach,2,0,0,
star anise,1,0,1,trans-
strawberry,2,0,1,ethyl butanoate
sugar,2,0,3,and roasted nuts. sugar's main culinary role is acid-buffering and maillard-amplifying rather than aromatic contribution. | not what it is at room temperature. above ~160°c sucrose generates | pure sucrose has minimal volatile chemistry — the tier1=caramel reflects what it becomes when heated
sumac,0,1,1,malic acid
sun-dried tomato,2,0,0,
sweet pepper,0,0,2,the generic 'sweet pepper' stands in for any ripe bell pepper. the classic mediterranean profile is built on hexenal sharing across pepper | tomato — they all carry the same c6 fresh-green volatile.
sweet potato,2,0,1,beta-ionone
tamarind,0,1,1,tartaric acid
thyme,3,0,0,
tofu,0,0,1,tofu is essentially neutral protein scaffolding — its mild bean-derived hexanal aroma doesn't compete with seasonings. like rice
tomato,2,0,1,beta-ionone
tomato paste,2,0,1,caramelization — tomato paste has substantially more dimethyl sulfide
tomato sauce,1,0,1,with basil's hexenal bridging to tomato's.
tonka bean,1,0,0,
tortilla,0,0,1,releasing niacin and creating the distinctive smell from 2-aminoacetophenone
tuna,2,1,0,
turmeric,1,0,0,
turnip,0,1,0,
unsweetened applesauce,0,0,3,acid | lactic acid cleansing | same chemistry as applesauce but lower sugar — malic acid plays bigger
vanilla,2,0,0,
vodka,0,0,2,. its role in cocktails is purely as alcohol vehicle for other ingredients to express their character. the bloody mary tradition uses vodka because it doesn't compete with the strong tomato-spice-acid combination. | vodka is essentially neutral ethanol with minimal flavor character — same chemistry regardless of base material
walnut,1,1,0,
wasabi,1,0,1,6-mitc
watermelon,1,0,1,6-nonadienal
whiskey,1,2,1,syringaldehyde — same compounds that flavor wine but more concentrated. scotch adds smoky phenols from peated malt. whiskey-chocolate pairs through shared
white vinegar,0,0,2,it's a four-way sweet-acid balance that lets cucumber's nonadienal character come through. | nearly pure acetic acid — minimal residual compounds compared to wine vinegars. the cleaner profile is why white vinegar is the pickling standard: it brightens vegetables without imposing additional flavor. with dill
white wine,0,2,2,ester chemistry. | white-wine pairing is cleanse-palate plus shared aldehyde
wine,0,1,2,acid cleanses palate | and shared ester families bridge to certain cooking ingredients
wintergreen,1,0,0,
worcestershire sauce,1,0,0,
wormwood,3,0,0,
yarrow,4,0,0,
yogurt,0,0,3,acetaldehyde | diacetyl | lactic acid
yuzu,2,0,0,
zucchini,1,0,1,hexanal
