name,tier1_aroma,tier2_taste,tier3_mouthfeel,leaves,sources,key_pairings,pairing_principles,chemistry_notes
spaghetti sauce,,bitter|sour|umami,smooth,,ai-draft;gnn-v3+flavordb,mozzarella|lasagna noodle|parmesan|ricotta|pepperoni|beef|cottage cheese,,
hamburger,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,tomato soup|kidney bean|tomato sauce|butter bean|taco sauce|chili bean|rigatoni noodle,,
white chocolate,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,milk chocolate|bittersweet|cocoa butter|peppermint candie|peppermint schnapp|matcha powder|white chocolate curl,,
white wine vinegar,fruity,,,,ai-draft;gnn-v3+flavordb,anchovy|torn red leaf lettuce|flat-leafed parsley|coarse grain mustard|chicken stock|parmesan|mushroom,,
cottage cheese,,sour|sweet|umami,smooth,,ai-draft;gnn-v3+flavordb,lasagna noodle|orange jello|lime jello|spaghetti sauce|parmesan|lime gelatin|wheat lasagna noodle,,
margarine,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,pineapple|coconut|mozzarella|basil|chocolate cake|oregano|worcestershire sauce,,
garam masala,,,,,ai-draft;gnn-v3+flavordb,turmeric|tomato|ginger|cumin|chicken|coriander|cilantro,,
flour tortilla,,bitter|sour|umami,powdery,,ai-draft;gnn-v3+flavordb,enchilada sauce|green chilie|blend cheese|picante sauce|green enchilada sauce|monterey jack cheese|red enchilada sauce,,
vegetable shortening,,bitter|sour|umami,,,ai-draft;gnn-v3+flavordb,double-acting baking powder|clear vanilla|ice water|baking soda|water boiling|coconut flaked|corn husk,,
whipped topping,,bitter|sour|umami,,,ai-draft;gnn-v3+flavordb,strawberry flavored|orange flavored|graham cracker crust|chocolate covered toffee|gelatin mix|chocolate pudding|chocolate sandwich cookie,,
lemon rind,,sour|sweet|umami,juicy,,ai-draft;gnn-v3+flavordb,sweet biscuit crumb|extra-virgin olive oil|chicken|tomato|chicken stock|reduced-calorie whipped topping|parmesan,,
flaked coconut,,sour|sweet|umami,crunchy,,ai-draft;gnn-v3+flavordb,condensed milk|orange candy|graham cracker crumb|orange segment|instant coconut cream pudding|sweet cooking chocolate|red sugar,,
turkey breast,,bitter|sour|umami,,,ai-draft;gnn-v3+flavordb,miracle whip light dressing|multi-grain bread|thin tomato|leaf|miracle whip dressing family|leaf lettuce leave|wheat sandwich roll,,
pepperoni,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,pizza sauce|mozzarella|provolone cheese|rigatoni noodle|spaghetti sauce|bread dough|pizza cheese,,
wheat flour,,sour|sweet|umami,powdery,,ai-draft;gnn-v3+flavordb,unsweetened applesauce|baking soda|flaxseed|applesauce|nonfat dry milk powder|soymilk|vital wheat gluten,,
sauce,,bitter|sour|umami,smooth,,ai-draft;gnn-v3+flavordb,worcestershire sauce|grill seasoning|blue cheese dressing|cheese dressing|bleu cheese salad dressing|clamato juice|shrimp,,
black peppercorn,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,parsley stem|bay leaf|fenugreek|brown chicken|coriander seed|fennel seed|star anise,,
corn tortilla,,bitter|sour|umami,,,ai-draft;gnn-v3+flavordb,enchilada sauce|green enchilada sauce|green chili salsa|red enchilada sauce|green chilie|green chile salsa|cumin,,
pepper sauce,,sour|sweet|umami,smooth,,ai-draft;gnn-v3+flavordb,worcestershire sauce|lemon butter|vegetable juice cocktail|regular long grain rice|pepperoni|imitation crab|barbq sauce,,
red chili pepper,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,fish sauce|lemongrass|palm sugar|shrimp paste|lime leave|cilantro root|long bean,,
romano cheese,,sour|sweet|umami,smooth,,ai-draft;gnn-v3+flavordb,italian sausage|bucatini pasta|italian pork sausage|basil|parmesan|tomato paste|garlic,,
teriyaki sauce,,bitter|sour|umami,smooth,,ai-draft;gnn-v3+flavordb,light sesame oil|sesame oil|pineapple salsa|tiny new potatoe|snow pea|ginger|liquid smoke flavoring,,
soda water,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,simple syrup|gin|white grape juice|lemon wheel|lemonade concentrate|campari|limeade,,
brown rice,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,lentil|black bean|edamame|sesame oil|vegetable bouillon cube|soy sauce|brown lentil,,
cream of chicken soup,,umami|sour,smooth,,ai-draft;gnn-v3+flavordb,chicken|hash brown potatoe|ro-tel tomatoe|corn flake|herb stuffing|herb stuffing mix|fryer,,
firm tofu,,bitter|sour|umami,,,ai-draft;gnn-v3+flavordb,light miso|shiitake|miso|vegan cheese|soy sauce|nutritional yeast|enoki mushroom,,
sherry,,sweet|sour|umami,,,ai-draft;gnn-v3+flavordb,soy sauce|ginger|cornstarch|sesame oil|chicken stock|peanut oil|red pepper,,
hoisin,,,,,ai-draft;gnn-v3+flavordb,sesame oil|five-spice powder|rice vinegar|plum sauce|chinese chili paste|asian chili sauce|ginger,,
italian salad dressing,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,caulifloweret|olive|pepperoncini pepper|cauliflower floweret|spiral pasta|chili powder|brown sugar,,
cream of mushroom soup,floral,sweet|umami,smooth,,ai-draft;gnn-v3+flavordb,ro-tel tomatoe|onion soup|broccoli|chicken|mushroom|chicken rice soup|jalapeno cheez whiz,,
swiss cheese,,sour|sweet|umami,smooth,,ai-draft;gnn-v3+flavordb,rye bread|corned beef|ham|poppy seed|deli turkey|herb seasoned stuffing mix|honey ham,,
sherry vinegar,,bitter|sour|umami,,,ai-draft;gnn-v3+flavordb,chorizo|extra-virgin olive oil|marcona almond|walnut oil|piquillo pepper|hazelnut oil|shallot,,
parsley flake,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,celery flake|onion flake|lasagna noodle|parmesan|chicken bouillon cube|achiote powder|russet potatoe,,
yeast,,,,,ai-draft;gnn-v3+flavordb,strong white bread flour|very water|potato water|tepid water|milk powder|vital wheat gluten|potato flake,,
liquid smoke,,,,,ai-draft;gnn-v3+flavordb,morton tender quick salt|curing salt|beef brisket|worcestershire sauce|red salmon|onion salt|ketchup,,
marinara sauce,,bitter|sour|umami,smooth,,ai-draft;gnn-v3+flavordb,mozzarella|parmesan|ricotta|mozzarella string cheese|jumbo pasta shell|eggplant|italian sausage,,
red chili,,bitter|sour|umami,,,ai-draft;gnn-v3+flavordb,fish sauce|lime leaf|rice vermicelli noodle|rice powder|palm sugar|corn cob|rice noodle,,
velveeta cheese,,sour|sweet|umami,smooth,,ai-draft;gnn-v3+flavordb,ro-tel tomatoe|party rye bread|jalapeno relish|hormel chili without bean|hormel chili|broccoli|sausage,,
yellow cake,,bitter|sour|umami,,,ai-draft;gnn-v3+flavordb,vanilla pudding|vanilla instant pudding|cherry pie filling|instant vanilla pudding|coconut instant pudding|pineapple|instant coconut cream pudding,,
flat-leaf parsley,,sour|sweet|umami,crisp,,ai-draft;gnn-v3+flavordb,extra-virgin olive oil|littleneck clam|freshly pepper|capers|country bread|red chile flake|anchovy fillet,,
mustard powder,,sour|sweet|umami,powdery,,ai-draft;gnn-v3+flavordb,cayenne pepper|baby back pork rib|apple cider vinegar|brown mustard seed|runner bean|pulled pork|onion powder,,
red chili powder,,bitter|sour|umami,powdery,,ai-draft;gnn-v3+flavordb,ginger-garlic|ginger paste|coriander powder|mango powder|asafoetida powder|fenugreek leave|turmeric,,
mirin,,,,,ai-draft;gnn-v3+flavordb,sake|soy sauce|burdock root|miso|lotus root|dashi stock|sesame oil,,
provolone cheese,,sour|sweet|umami,smooth,,ai-draft;gnn-v3+flavordb,pepperoni|pepperoncini pepper|deli roast beef|pepperoncini|pepperoni sausage|cherry pepper|deli turkey,,
chocolate syrup,,sour|sweet|umami,viscous,,ai-draft;gnn-v3+flavordb,chocolate ice cream|vanilla ice cream|scoop ice cream|milky|chocolate liqueur|whipped cream|coffee ice cream,,
cake,,bitter|sour|umami,,,ai-draft;gnn-v3+flavordb,strawberry glaze|crumb topping|butterfinger|reduced-fat whipped topping|eggs at|salted|glaze,,
italian dressing,,,,,ai-draft;gnn-v3+flavordb,boneless skinless chicken breast|rotini noodle|fully ripe avocado|tomato|linguine noodle|coating mix|broccoli floweret,,
mustard seed,,sour|sweet|umami,crunchy,,ai-draft;gnn-v3+flavordb,asafoetida powder|curry|tamarind pulp|curry leaf|jaggery|mustard oil|dill seed,,
pizza sauce,,bitter|sour|umami,smooth,,ai-draft;gnn-v3+flavordb,pepperoni|mozzarella|turkey pepperoni|pizza cheese|pepperoni sausage|rigatoni noodle|string cheese,,
chili flake,,bitter|sour|umami,,,ai-draft;gnn-v3+flavordb,rice powder|hawaiian salt|satay sauce|yuzu juice|brown sugar|worcestershire sauce|boiling water,,
green chili,,bitter|sour|umami,,,ai-draft;gnn-v3+flavordb,mango powder|creamed coconut|ginger paste|ginger-garlic|coriander powder|turmeric|green coriander,,
american cheese,,sour|sweet|umami,smooth,,ai-draft;gnn-v3+flavordb,buttered crumb|beef|parmesan|chicken stock|corned beef|tomato paste|shrimp,,
ghee,fatty,,,peach|coconut|lactonic|apricot|fatty|creamy|fruity,ai-draft;gnn-v3+flavordb,cardamom powder|turmeric|asafoetida powder|black mustard seed|coriander powder|yellow lentil|red chili powder,,
mascarpone cheese,,sour|sweet|umami,smooth,,ai-draft;gnn-v3+flavordb,ladyfinger cookie|coffee liqueur|amaretti cookie|marsala wine|white chocolate curl|espresso powder|dessert wine,,
peache,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,peach juice|reserved juice|peach yogurt|peach jello|regular vanilla pudding|chicken|tomato,,
lemon pepper,,sour|sweet|umami,juicy,,ai-draft;gnn-v3+flavordb,original hidden|achiote powder|dill|buttermilk dressing|hidden valley dressing|catfish fillet|green pepper,,
broccoli floret,,bitter|sour|umami,,,ai-draft;gnn-v3+flavordb,caulifloweret|cauliflower floret|boneless skinless chicken breast|carrots target|rotini pasta|fry|sesame dressing,,
picante sauce,,bitter|sour|umami,smooth,,ai-draft;gnn-v3+flavordb,flour tortilla|bean dip|bean|grnd cumin|avocado dip|monterey jack cheese|pinto bean,,
red chilie,,bitter|sour|umami,,,ai-draft;gnn-v3+flavordb,tamarind pulp|fenugreek|lemongrass|galangal|tamarind paste|turmeric|tamarind juice,,
cake mix,,bitter|sour|umami,,,ai-draft;gnn-v3+flavordb,chocolate pudding|cherry pie filling|chocolate candie|lemon pie filling|instant chocolate pudding|chocolate instant pudding|vanilla frosting,,
freshly squeezed lemon juice,,sour|sweet|umami,smooth,,ai-draft;gnn-v3+flavordb,freshly black pepper|sesame tahini|flat-leaf parsley|chicken|simple syrup|orange bitters|extra-virgin olive oil,,
light sour cream,,bitter|sour|umami,smooth,,ai-draft;gnn-v3+flavordb,canola mayonnaise|extra lean beef|light cream cheese|brown sugar|italian sausage|boiling water|chili sauce,,
nonfat yogurt,,sour|sweet|umami,oily,,ai-draft;gnn-v3+flavordb,dillweed|lemon glaze|fish sauce|chili powder|worcestershire sauce|green chilie|tabasco sauce,,
taco sauce,,bitter|sour|umami,smooth,,ai-draft;gnn-v3+flavordb,lettuce|bean|beef|taco cheese|green chilie|olive|corn chip,,
tarragon,woody,,,sweet|new mown hay|green|tonka|bitter|prune|cananga,ai-draft;gnn-v3+flavordb,tarragon vinegar|bearnaise sauce|cornichon|white wine|live lobster|shallot|lobster,,
yellow cornmeal,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,yellow cream|catfish fillet|cream-style corn|cream-style|buttermilk|well-shaken buttermilk|green jalapeno,,
lasagna noodle,,sweet|sour|umami,,,ai-draft;gnn-v3+flavordb,mozzarella|ricotta|spaghetti sauce|cottage cheese|parmesan|tomato paste|italian sausage,,
pine nut,,sour|sweet|umami,crunchy,,ai-draft;gnn-v3+flavordb,parmesean cheese|grape leave|extra-virgin olive oil|basil|golden raisin|lean lamb|freshly pecorino,,
cherry pie filling,,bitter|sour|umami,,,ai-draft;gnn-v3+flavordb,dream whip|yellow cake mix|chocolate fudge cake mix|crumb crust|almond extract|yellow cake|white cake mix,,
condensed milk,,bitter|sour|umami,smooth,,ai-draft;gnn-v3+flavordb,graham cracker crumb|graham cracker crust|lemon juice from concentrate|butterscotch chip|graham cracker pie crust|semisweet chocolate chip|flaked coconut,,
goat cheese,,sour|sweet|umami,smooth,,ai-draft;gnn-v3+flavordb,balsamic vinegar|candied walnut|candied pecan|chicken|shallot|chicken stock|balsamic glaze,,
sweet chili sauce,,bitter|sour|umami,smooth,,ai-draft;gnn-v3+flavordb,rice vermicelli noodle|fish sauce|hokkien noodle|vermicelli rice noodle|sweet soy sauce|pork mince|bean sprout,,
tomato juice,fruity,,smooth,,ai-draft;gnn-v3+flavordb,beef|chili bean|tomato|tomato paste|chicken|chili seasoning|parmesan,,
peppercorn,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,bay leaf|chicken carcass|parsley stem|parsley root|chicken back|celery top|star anise,,
kernel corn,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,cream-style corn|cream-style|cornbread|barbecue beef|cream corn|corn muffin|cornbread mix,,
brown mustard,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,cornbread stuffing|vegetarian baked bean|country-style pork rib|cayenne pepper sauce|kosher dill pickle|fish sauce|country-style pork,,
graham cracker crust,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,whipped topping|cream cheese|condensed milk|realemon juice|reduced-fat whipped topping|cool whip|lemonade,,
milk chocolate,,sour|sweet|umami,smooth,,ai-draft;gnn-v3+flavordb,white chocolate|chocolate|chili powder|boiling water|graham cracker sheet|bittersweet|maple syrup,,
penne pasta,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,parmesan|grilled chicken|italian sausage|alfredo sauce|italian pork sausage|vodka sauce|chicken sausage,,
active dry yeast,,,,,ai-draft;gnn-v3+flavordb,pearl sugar|nonfat dry milk powder|vital wheat gluten|very water|unbleached bread|rye flour|tepid water,,
unflavored gelatin,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,cream|boiling water|eggnog|white grape juice|sherry wine|raspberry gelatin|chocolate wafer crumb,,
pasta sauce,,sour|sweet|umami,smooth,,ai-draft;gnn-v3+flavordb,extra-lean beef king sooper|extra lean beef|mozzarella|ricotta|italian sausage|light ricotta cheese|cheese ravioli,,
tomato ketchup,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,chilli sauce|brown sauce|extra lean beef|sesame seed hamburger|worcester sauce|sweet chilli sauce|beef pattie,,
low-fat sour cream,,bitter|sour|umami,oily,,ai-draft;gnn-v3+flavordb,weight mushroom|dillweed|low-fat milk|soy crumble|low-fat chicken broth|vegetarian refried bean|boiling water,,
mussel,,bitter|sour|umami,,,ai-draft;gnn-v3+flavordb,saffron|white wine|crusty bread|seafood stock|monkfish|shrimp|littleneck clam,,
steak sauce,,bitter|sour|umami,smooth,,ai-draft;gnn-v3+flavordb,leaf lettuce leave|ketchup|tomato-vegetable juice cocktail|pickapeppa sauce|beef stock|maple syrup|corn syrup,,
soymilk,,bitter|sour|umami,smooth,,ai-draft;gnn-v3+flavordb,soy margarine|vegan sugar|soy yogurt|nutritional yeast|flaxseed|soy cheese|wheat pastry flour,,
sunflower oil,,sour|sweet|umami,oily,,ai-draft;gnn-v3+flavordb,root ginger|bacon rasher|sweet corn|chilli pepper|bean sprout|mixed pepper|red chilli pepper,,
tahini,,,,,ai-draft;gnn-v3+flavordb,chickpea|garbanzo bean|pita bread|chili oil|sichuan peppercorn|wheat pita|miso,,
celery salt,woody,,crystalline,,ai-draft;gnn-v3+flavordb,clamato juice|box wheat chex|worcestershire sauce|liquid smoke|tomato juice|onion salt|beef brisket,,
chilie,,bitter|sour|umami,,,ai-draft;gnn-v3+flavordb,galangal|jack cheese|tamarind juice|guajillo chilie|fish sauce|lemongrass|palm sugar,,
corn kernel,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,poblano chilie|yellow cornmeal|cilantro|cumin|tasty cheese|stone- yellow cornmeal|poblano pepper,,
white fish,,bitter|sour|umami,tender,,ai-draft;gnn-v3+flavordb,lemon wedge|crumbled saffron thread|kaffir lime|long red chili pepper|steamed rice|cajun spice mix|fish sauce,,
sunflower seed,,sour|sweet|umami,crunchy,,ai-draft;gnn-v3+flavordb,beef flavor|chicken-flavored ramen noodle|ramen noodle|broccoli slaw|chicken ramen noodle|broccoli coleslaw|raisin,,
graham cracker,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,milk chocolate frosting|chocolate icing|chocolate frosting|french vanilla pudding|candied fruit|dream whip|blueberry pie mix,,
almond extract,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,chocolate fudge cake mix|cherry pie filling|lemon extract|whipping|maraschino cherry juice|cream of tartar|almond paste,,
syrup,,bitter|sour|umami,viscous,,ai-draft;gnn-v3+flavordb,fluid tequila|salted|popcorn|orange curacao|orange blossom water|cinnamon syrup|onion,,
cornflour,,sweet,powdery,,ai-draft;gnn-v3+flavordb,sweet biscuit crumb|soya sauce|custard powder|vanilla essence|ginger-garlic|chilli sauce|light soya sauce,,
lemon wedge,,sour|sweet|umami,juicy,,ai-draft;gnn-v3+flavordb,tartar sauce|live lobster|catfish fillet|firm white fish|white fish|littleneck clam|shrimp,,
marinade,,,,,ai-draft;gnn-v3+flavordb,fry|soy sauce|oyster sauce|seasoning sauce|sake|peanut sauce|sesame oil,,
yellow cake mix,,bitter|sour|umami,,,ai-draft;gnn-v3+flavordb,cherry pie filling|vanilla instant pudding|instant vanilla pudding|vanilla pudding|instant coconut pudding|vanilla instant pudding mix|pineapple,,
brandy,fruity,,,fragrant|bread|woody|sweet|baked|almond|lard,ai-draft;gnn-v3+flavordb,beef suet|green peppercorn|chicken liver|rose wine|shrimp shell|peel|eggnog,,
green chili pepper,,sour|sweet|umami,,,ai-draft;gnn-v3+flavordb,cilantro freshly|mango powder|paneer cheese|enchilada sauce|ghee|corn tortilla|asafoetida powder,,
simple syrup,,bitter|sour|umami,viscous,,ai-draft;gnn-v3+flavordb,gin|orange bitters|lemon wheel|beefeater|ginger beer|lime wheel|tequila,,
splenda sugar substitute,,bitter|sour|umami,crystalline,,ai-draft;gnn-v3+flavordb,egg beater|light vanilla soymilk|protein powder|nonfat milk|unsweetened applesauce|egg substitute|vanilla whey,,
