name,verified_compounds,class_terms,unverified_candidates,candidate_list
feta,0,1,1,lactic acid
blue cheese,0,1,1,2-heptanone
cheddar,0,2,1,diacetyl
radish,0,0,1,4-methylthio-3-butenyl isothiocyanate
parsnip,1,0,0,
turnip,0,1,0,
artichoke,1,0,0,
chive,0,1,0,
parsley,1,0,1,8-p-menthatriene
chervil,1,0,2,1-allyl-2 | 4-dimethoxybenzene
savory,2,0,0,
lovage,0,0,1,3-butylidene phthalide
shiso,1,0,1,perilla aldehyde
curry leaf,0,1,1,beta-caryophyllene
grains of paradise,1,0,1,6-paradol
long pepper,1,0,0,
mahleb,2,0,0,
tonka bean,1,0,0,
hops,0,1,0,
angelica,0,1,1,beta-phellandrene
lemon balm,2,0,0,
lemon verbena,2,0,0,
tamarind,0,1,1,tartaric acid
mastic,1,0,1,masticadienonic acid
chicken,1,1,0,
beef,0,2,0,
salmon,1,1,0,
lamb,0,1,1,4-methyloctanoic acid
gentian,1,0,0,
wintergreen,1,0,0,
fennel pollen,2,0,0,
pandan,1,0,0,
matcha,1,0,1,-3-hexenol
black tea,0,3,0,
kombu,1,0,0,
bonito,1,1,0,
sun-dried tomato,2,0,0,
roasted garlic,0,1,0,
caramel,2,0,1,diacetyl
honey,1,0,1,phenylacetaldehyde
maple syrup,2,0,0,
molasses,1,0,0,
brown butter,0,2,1,diacetyl
egg,0,1,1,hydrogen sulfide
butter,0,1,2,butyric acid | diacetyl
cream,0,1,1,diacetyl
yogurt,0,0,3,acetaldehyde | diacetyl | lactic acid
rice,1,0,0,
